prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
Kral,4,7,6,7,8,0
Kram,4,6,6,7,7,0
Krar,4,7,6,7,8,0
Kraz,5,7,7,8,8,0
Kro,4,7,6,7,8,0
Krog,5,8,6,8,8,0
Krol,4,7,6,7,8,0
Krug,5,8,6,8,8,0
Krur,5,8,7,8,8,0
Lag,4,7,5,7,8,0
Lar,4,6,5,7,7,0
Lin,3,4,5,5,5,0
Log,4,7,5,7,8,0
Lok,4,7,6,7,8,0
Lor,4,6,5,7,7,0
Mag,4,7,5,7,8,0
Mal,4,6,5,7,7,0
Mar,4,6,5,7,7,0
Mel,3,5,5,6,6,0
Mid,4,6,5,7,7,0
Min,3,5,5,6,6,0
Mir,3,5,5,6,6,0
Mith,4,6,7,7,7,0
Mjol,4,7,7,7,8,0
Mor,4,6,5,7,7,0
Mor,4,6,5,7,7,0
Mug,4,7,5,7,8,0
Mun,4,6,5,7,7,0
Mur,4,6,5,7,7,0
Mur,4,6,5,7,7,0
Nag,4,7,5,7,8,0
Nain,4,5,6,7,7,0
Nal,4,6,5,7,7,0
Nar,4,6,5,7,7,0
Nd,4,7,5,7,7,0
Nid,4,6,6,7,7,0
Nif,3,5,6,6,6,0
Njal,4,7,7,7,8,0
Njar,4,7,7,7,8,0
No,3,5,4,6,7,0
Nor,4,6,5,7,7,0
Nug,4,7,5,7,8,0
Nur,4,6,5,7,7,0
Od,3,5,5,6,6,1
Og,4,7,5,7,8,1
Oin,3,4,6,6,6,1
Ok,3,6,5,6,7,1
Ol,3,5,5,6,6,1
On,3,5,4,6,6,1
Ond,4,6,5,7,7,1
Or,3,5,5,6,6,1
Ori,3,4,6,6,6,1
Oth,4,6,6,7,7,1
Oz,4,5,7,7,6,1
Rak,4,7,5,7,8,0
Ral,4,6,5,7,7,0
Ran,4,6,5,7,7,0
Ras,4,6,5,7,7,0
Raz,5,7,7,8,8,0
Reg,4,7,5,7,8,0
Regin,4,6,6,7,7,0
Ri,3,5,5,6,6,0
Rig,4,7,5,7,8,0
Ril,3,5,5,6,6,0
Ro,3,5,4,6,7,0
Rok,4,7,5,7,8,0
Roth,4,6,6,7,7,0
Rug,4,7,5,7,8,0
Run,4,6,5,7,7,0
Sk,4,7,5,7,7,0
Ska,4,7,5,7,7,0
Skal,4,7,6,7,8,0
Skar,4,7,6,7,8,0
Skj,4,7,7,7,8,0
Sko,4,7,5,7,8,0
Skor,4,7,6,7,8,0
Skr,4,8,6,7,8,0
Skrag,5,8,7,8,8,0
Sn,4,6,5,7,7,0
Sno,4,6,5,7,7,0
Snor,4,6,6,7,7,0
St,4,6,4,7,7,0
Sta,4,6,5,7,7,0
Stal,4,6,6,7,7,0
Star,4,6,6,7,7,0
Ste,3,5,5,6,6,0
Stein,4,5,6,7,7,0
Sto,4,6,4,7,7,0
Stor,4,6,5,7,7,0
Str,4,7,5,7,8,0
Strak,5,8,6,8,8,0
Stram,4,7,6,7,8,0
Stran,4,7,6,7,8,0
Strom,4,7,6,7,8,0
Tha,4,6,5,7,7,0
Thal,4,6,6,7,7,0
Thar,4,6,6,7,7,0
Thaz,5,7,7,8,8,0
The,3,5,5,6,6,0
Thel,3,5,6,6,6,0
Theng,4,7,7,7,8,0
Ther,4,6,6,7,7,0
Thi,3,5,6,6,6,0
Thil,3,5,6,6,6,0
Thim,3,5,6,6,6,0
Thj,4,7,7,7,8,0
Tho,4,6,5,7,7,0
Thor,4,6,6,7,7,0
Thr,4,7,6,7,8,0
Thrag,5,8,7,8,8,0
Thrak,5,8,7,8,8,0
Thral,4,7,7,7,8,0
Thram,4,7,7,7,8,0
Thran,4,7,7,7,8,0
Thrar,4,7,7,7,8,0
Thraz,5,7,8,8,8,0
Thri,4,6,7,7,7,0
Thrim,4,6,7,7,7,0
Thrin,4,6,7,7,7,0
Thro,4,7,6,7,8,0
Throd,5,7,7,8,8,0
Throg,5,8,7,8,8,0
Throk,5,8,7,8,8,0
Throl,4,7,7,7,8,0
Throm,4,7,7,7,8,0
Thron,4,7,7,7,8,0
Thror,4,7,7,7,8,0
Throz,5,7,8,8,8,0
Thru,4,7,6,7,8,0
Thrud,5,7,7,8,8,0
Thrug,5,8,7,8,8,0
Thruk,5,8,7,8,8,0
Thrul,4,7,7,7,8,0
Thrum,4,7,7,7,8,0
Thrun,4,7,7,7,8,0
Thrur,4,7,7,7,8,0
Thu,4,6,6,7,7,0
Thur,4,6,6,7,7,0
To,3,5,4,6,7,0
Tor,4,6,5,7,7,0
Trag,5,8,6,8,8,0
Trak,5,8,6,8,8,0
Tram,4,6,6,7,7,0
Tran,4,6,6,7,7,0
Trar,4,7,6,7,8,0
Traz,5,7,7,8,8,0
Tro,4,7,5,7,8,0
Trod,5,7,6,8,8,0
Trog,5,8,6,8,8,0
Trok,5,8,6,8,8,0
Trol,4,7,6,7,8,0
Trom,4,7,6,7,8,0
Tron,4,7,6,7,8,0
Tror,4,7,6,7,8,0
Troz,5,7,7,8,8,0
Tru,4,7,5,7,8,0
Trud,5,7,6,8,8,0
Trug,5,8,6,8,8,0
Truk,5,8,6,8,8,0
Trul,4,7,6,7,8,0
Trum,4,7,6,7,8,0
Trun,4,7,6,7,8,0
Trur,4,7,6,7,8,0
Turg,5,8,6,8,8,0
Ud,3,5,6,6,6,1
Ug,4,7,6,7,8,1
Ug,4,7,6,7,8,1
Ul,3,5,6,6,6,1
Um,3,5,6,6,6,1
Un,3,5,6,6,6,1
Ur,3,5,6,6,6,1
Var,4,6,6,7,7,0
Vid,4,6,6,7,7,0
Vig,4,7,6,7,8,0
Zag,5,8,7,8,8,0
Zak,5,7,7,8,8,0
Zar,5,7,7,8,8,0
Zor,5,7,7,8,8,0
Zur,5,7,7,8,8,0
