suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
gast,6,6,5,6,8
gath,6,6,6,6,7
gear,5,5,5,6,7
gel,4,4,5,5,6
gen,5,5,5,5,7
ger,6,6,5,6,8
ghyll,5,6,7,5,7
gil,5,4,6,6,7
glan,5,4,7,6,7
glas,4,3,6,5,5
glen,4,4,5,4,6
goch,7,7,8,6,8
goll,5,6,6,6,8
gor,7,7,6,7,8
gorm,7,8,7,7,8
gors,5,6,6,5,7
goy,4,4,7,5,6
gra,6,7,5,6,8
graf,6,6,5,6,8
graig,6,7,7,7,8
gran,6,7,5,7,8
gray,4,5,4,5,6
green,3,4,4,5,5
gren,6,6,6,6,8
grif,6,6,7,7,8
gris,6,7,6,6,8
griv,5,6,6,6,7
grove,4,6,5,5,7
gruff,7,9,6,6,8
gur,6,7,5,6,8
gwalt,5,5,8,7,7
gwen,3,3,6,5,4
gwyn,3,2,7,6,5
gydd,5,5,8,6,7
gyll,4,5,7,5,6
ha,4,4,5,4,6
had,6,6,5,6,8
haf,4,4,6,5,6
hal,5,5,4,6,8
hallt,5,6,6,6,8
ham,5,6,4,5,8
han,5,5,4,6,8
har,6,6,4,7,8
hard,7,8,4,7,8
hart,5,5,5,7,8
hatch,5,6,4,4,7
haugh,4,5,5,4,6
haw,5,5,5,6,7
hay,4,4,4,4,6
hazel,3,4,4,4,5
head,5,5,4,6,7
heath,4,6,5,4,6
hech,5,6,6,5,7
hel,6,6,5,6,7
helm,6,7,5,7,8
hen,4,4,5,4,6
her,6,6,4,6,8
herd,5,6,4,5,8
hern,6,6,6,7,8
hil,4,4,5,4,6
hill,4,5,4,3,6
hin,4,4,5,4,6
hir,5,4,6,6,7
hoch,6,7,7,6,8
hog,7,8,5,5,8
hol,5,5,4,5,7
holm,4,5,5,5,6
holt,4,5,5,5,7
horn,7,7,5,7,8
ia,3,3,6,4,4
iach,4,4,7,5,5
ian,4,3,6,5,6
iar,4,3,6,5,6
ic,5,5,5,5,7
ich,6,6,7,5,8
id,4,4,5,5,6
idd,5,5,6,6,7
idh,5,4,7,6,6
if,4,4,6,4,5
ig,6,6,5,5,8
ik,6,7,5,5,8
il,4,4,5,4,5
ild,5,5,5,6,7
im,4,4,5,5,6
in,4,4,4,4,6
inc,5,5,5,5,7
ind,5,5,5,6,7
ing,5,5,4,6,7
ink,5,5,5,5,7
int,5,5,5,5,7
ir,5,5,4,5,7
is,4,4,4,4,6
isc,5,5,6,5,7
ish,4,5,5,4,6
isk,5,6,6,5,7
ist,5,5,5,5,7
it,5,5,4,4,7
ith,5,4,6,5,6
kal,6,6,6,7,8
kan,6,6,5,6,8
kar,7,7,6,8,8
karn,7,7,6,7,8
keir,5,5,7,6,7
kel,5,5,5,5,7
kell,5,5,6,6,7
ken,5,5,5,6,8
ker,6,6,5,6,8
kern,6,6,6,7,8
kil,7,7,5,7,8
kin,5,5,5,5,7
kirk,6,6,5,6,8
knol,5,6,5,4,7
kor,7,7,6,7,8
la,3,3,4,3,4
lach,5,6,7,5,7
lagh,5,5,7,5,6
lain,4,3,6,5,6
lair,4,3,5,5,5
laith,4,3,7,5,5
lan,4,4,4,5,6
land,5,5,4,6,7
lar,5,5,4,6,7
lark,3,3,5,4,5
las,4,4,5,4,6
lash,6,6,5,5,7
lath,5,5,6,5,7
latz,6,6,7,6,8
lav,4,4,5,4,5
lawn,3,3,4,3,4
lax,5,5,6,5,7
lay,4,3,4,4,5
le,3,3,4,3,5
lea,3,3,4,3,4
leaf,2,3,5,2,3
lech,5,6,7,5,7
ledd,5,5,6,6,7
leigh,3,3,5,4,4
leir,4,3,6,5,5
len,4,4,4,4,6
ler,4,4,4,5,6
les,4,4,5,4,6
let,4,4,5,4,6
ley,4,3,4,4,5
liath,4,3,8,6,5
lin,4,3,5,4,5
ling,4,4,5,4,6
linn,3,3,6,4,5
lith,4,4,7,5,5
llan,4,4,7,5,6
llech,5,5,8,6,7
ller,4,4,5,5,6
llyn,4,4,8,5,6
loch,5,5,7,5,7
lock,5,6,5,5,7
lod,5,5,5,5,7
log,6,7,4,4,8
lon,5,5,5,5,7
lor,5,4,5,6,7
lorn,6,5,6,6,8
low,4,4,4,3,6
lum,5,5,5,4,7
lur,5,6,5,5,7
lurk,6,6,5,5,7
lyn,4,3,6,4,5
lyr,4,3,7,5,5
mac,5,5,6,6,8
mach,6,6,7,6,8
mael,5,4,8,7,7
maen,4,4,7,6,7
maer,4,4,7,6,6
mag,6,6,5,6,8
mah,5,5,6,5,7
main,4,4,5,5,6
mal,6,6,5,7,8
man,5,5,4,6,8
mar,6,6,4,7,8
marc,6,6,5,7,8
marl,5,6,5,4,7
marsh,5,7,5,4,7
mas,5,5,5,5,7
mat,5,5,4,5,7
math,5,5,6,6,7
mawn,4,5,7,4,7
meath,5,5,6,5,6
med,5,5,5,5,7
meg,6,6,5,6,8
meir,4,4,7,6,6
mel,4,4,5,5,6
mell,4,4,6,5,6
men,5,5,5,5,7
mer,5,5,5,5,7
mere,4,4,6,4,6
mhic,5,5,8,6,8
min,5,5,5,5,7
minn,4,4,6,5,6
mir,4,4,6,5,6
mire,5,6,5,3,6
mist,3,4,6,4,4
moc,6,6,7,6,8
mol,5,5,5,5,7
mon,6,6,5,6,8
mor,6,6,5,7,8
morn,6,6,6,7,8
mos,5,6,5,3,7
moss,3,6,5,2,5
moth,4,5,6,3,5
muir,4,4,7,6,6
mul,6,6,5,5,8
mun,5,5,5,5,7
mur,7,7,5,7,8
nach,5,6,7,5,7
nad,5,5,5,5,7
nael,4,4,7,6,6
nag,6,7,5,5,8
nair,4,3,6,5,6
nan,4,4,5,4,6
nar,6,6,5,7,8
nard,6,6,5,7,8
nas,5,5,5,5,7
nath,5,5,6,6,7
neamh,4,3,9,6,5
ned,5,5,5,5,7
neid,4,4,7,5,6
nem,5,4,6,5,6
nen,4,4,6,5,6
ner,5,5,5,6,7
nes,4,4,5,4,6
ness,3,4,6,4,5
net,5,5,5,4,7
neth,5,4,7,5,6
nir,5,4,6,6,7
nis,4,4,6,4,6
noc,5,6,6,5,7
nochd,5,6,8,6,7
nol,5,5,5,5,7
nor,6,6,5,7,8
oc,6,6,6,5,8
och,7,7,7,6,8
od,6,6,5,5,8
odh,6,6,7,6,8
ok,6,7,5,6,8
ol,5,5,4,5,7
old,5,6,4,6,7
olen,4,4,6,5,6
olm,5,5,5,5,7
olt,5,6,5,5,7
on,5,5,4,6,8
ond,6,6,5,7,8
or,6,6,4,7,8
orb,5,5,6,6,7
ord,7,7,5,7,8
ore,5,5,5,5,7
org,7,7,6,7,8
ork,7,7,6,7,8
orl,6,6,5,7,8
orm,7,7,6,7,8
orn,7,7,5,7,8
ort,6,6,5,6,8
ory,5,5,5,5,7
os,5,5,4,5,7
osk,6,6,6,5,8
ost,6,7,5,6,8
ot,6,6,4,5,8
oth,6,6,6,6,8
ough,4,5,5,4,6
oul,5,5,5,5,7
oun,5,5,5,5,7
ourn,5,5,6,6,7
out,5,5,5,5,7
ow,4,4,5,4,6
owl,4,4,6,4,5
oy,4,3,5,4,5
peat,5,7,5,3,7
ped,5,5,5,5,7
pen,5,4,6,5,7
per,5,5,5,5,7
pet,4,5,4,4,6
pid,5,5,5,4,7
pil,5,5,5,4,7
pin,4,5,5,4,7
pit,6,7,4,4,8
plad,5,5,7,6,7
poll,5,5,6,4,7
polg,6,6,8,6,8
porth,5,5,7,6,7
poul,5,5,7,5,7
pow,4,4,6,5,6
prys,5,4,8,6,7
ra,4,4,5,4,6
rac,6,6,6,6,8
rad,6,6,5,6,8
rag,7,7,6,6,8
rah,5,5,6,5,7
raid,5,5,6,6,7
raig,5,5,7,6,7
rain,3,3,5,4,4
ral,5,5,5,6,7
ram,5,6,5,6,8
ran,5,5,5,5,7
rand,6,6,5,7,8
rath,6,6,6,6,7
rav,6,5,6,6,7
rax,7,7,7,7,8
ray,4,4,5,4,6
rean,4,4,6,5,6
rec,5,5,6,5,7
red,5,5,5,5,7
reen,3,3,6,4,4
reg,5,5,5,5,7
rein,4,4,6,5,6
rel,4,4,5,5,5
rem,4,4,5,5,6
ren,4,4,5,5,6
reth,5,4,7,5,6
rev,4,4,5,5,6
rex,6,6,6,7,8
rha,5,4,7,6,7
rhi,4,3,8,6,5
rhos,4,4,8,5,6
rhyd,5,4,8,7,7
riac,5,4,7,6,7
ric,6,6,5,6,8
rich,5,5,6,6,7
rid,5,5,5,5,7
rig,6,6,5,6,8
ril,4,4,6,4,5
rim,5,5,5,5,7
rin,4,4,5,4,6
rionn,4,3,8,7,6
ris,4,4,5,4,6
rith,5,4,7,5,6
rix,5,5,6,6,7
ro,5,5,5,5,8
roc,7,7,6,7,8
roch,6,6,7,7,8
rock,6,8,5,7,8
rod,6,6,5,6,8
roe,4,4,5,4,5
rog,7,7,6,6,8
roh,5,5,6,6,7
rol,5,5,5,5,7
rom,5,5,5,5,7
ron,6,6,5,7,8
root,5,7,5,5,7
ros,4,4,6,5,6
roth,7,6,6,7,8
rowan,3,4,6,5,5
ruadh,5,5,8,7,8
ruc,6,7,5,5,8
rud,7,7,5,6,8
rue,3,3,5,3,4
ruf,6,6,5,6,8
rug,7,8,5,6,8
ruin,8,7,5,7,8
run,5,5,5,6,7
rus,6,6,5,5,8
rust,6,7,4,5,7
rut,7,8,5,5,8
ryn,4,3,7,5,6
sac,7,7,6,6,8
sad,6,6,5,5,8
sag,6,6,6,6,8
sal,5,5,5,5,7
san,5,5,5,5,7
sand,5,6,4,4,7
sar,6,6,5,7,8
sas,5,5,5,5,7
sath,6,5,7,6,7
sax,7,7,6,7,8
sca,7,7,6,6,8
scath,7,6,8,7,7
scor,7,7,6,7,8
scran,6,6,6,6,8
scrob,7,7,7,6,8
seach,4,4,7,5,6
sean,4,4,6,6,7
sear,5,4,6,6,7
sedd,5,5,6,5,7
sedge,4,6,6,3,6
see,3,3,5,3,4
seg,5,5,5,5,7
sel,4,3,5,5,5
sem,4,4,5,5,6
sen,5,4,6,5,7
ser,5,5,5,6,7
shach,6,6,8,6,8
shale,5,6,5,4,6
shan,5,4,6,6,7
shar,6,6,5,6,8
sharn,6,6,6,6,8
shaw,4,5,5,5,6
shen,5,4,6,5,7
sher,5,5,5,6,7
sidh,4,3,9,7,5
sil,4,3,6,5,5
sin,5,5,5,5,7
sir,5,4,6,6,7
ska,7,7,6,6,8
skar,8,8,7,7,8
skel,7,7,6,6,8
skew,5,5,6,5,7
skor,8,8,7,7,8
sky,3,3,5,5,5
slag,8,9,6,6,8
slat,6,7,5,5,8
sloc,6,6,7,5,8
snarl,7,8,6,6,8
sol,4,3,5,6,6
son,5,5,4,6,8
sor,6,6,5,7,8
sorn,6,6,6,7,8
sos,5,5,5,5,7
stac,6,6,7,6,8
stag,6,6,5,7,8
stan,6,6,5,7,8
star,4,3,5,6,6
stein,5,6,5,6,7
sten,6,7,5,7,8
stey,4,4,6,5,6
stig,6,7,6,6,8
stone,6,8,5,7,8
stor,7,7,5,7,8
storm,6,6,5,8,7
strad,6,6,7,7,8
strae,5,5,7,6,7
sud,5,5,5,5,7
sul,6,6,5,5,8
sump,6,8,5,4,8
sward,4,5,5,4,6
sway,4,3,5,4,5
tac,5,6,6,5,7
tad,5,5,5,5,7
tag,6,7,5,5,8
tal,6,6,5,7,8
tam,5,5,5,5,7
tan,5,5,5,5,7
tar,7,7,5,8,8
tarn,5,6,6,5,7
tas,5,5,5,5,7
tath,6,5,7,6,7
taur,7,6,7,8,8
teg,5,5,6,5,7
tel,5,5,5,5,7
ten,5,5,5,5,7
ter,6,6,5,6,8
tern,5,5,5,5,6
terr,6,7,5,6,8
tes,5,5,5,5,7
thal,5,4,7,6,7
than,6,6,6,7,8
thar,7,7,6,7,8
thas,6,5,7,6,7
thax,7,7,7,7,8
ther,5,5,6,6,7
thin,5,5,6,5,7
thir,5,5,6,6,7
thor,7,7,6,8,8
thorn,7,7,6,6,7
thran,6,6,7,7,8
thrax,7,7,7,7,8
thrin,6,5,7,6,7
thro,6,6,6,6,8
tir,6,5,6,7,8
tirn,6,5,7,7,8
tis,5,5,5,4,7
toc,6,6,6,5,8
tod,6,6,5,5,8
tol,6,6,5,6,8
tor,7,7,6,7,8
torc,7,7,7,7,8
torn,7,7,6,6,8
tra,6,6,5,5,8
tref,5,5,7,6,7
trem,5,5,6,5,7
tros,5,5,6,5,7
trug,7,8,6,6,8
tur,7,7,5,6,8
turc,7,7,6,7,8
tusk,7,8,5,7,8
ub,6,7,6,5,8
uc,7,8,6,5,8
ud,6,7,6,6,8
uf,6,7,6,5,8
ug,7,9,6,6,8
uk,7,8,6,6,8
ul,6,7,5,6,8
ulf,7,7,7,7,8
ulk,7,8,6,6,8
ull,5,6,6,5,7
ult,6,7,6,6,8
um,5,6,5,5,7
un,5,6,5,5,7
und,6,6,5,6,8
ur,7,7,5,7,8
urd,7,8,6,7,8
urk,8,8,6,7,8
url,6,7,5,6,8
urn,6,7,5,7,8
urt,7,7,5,6,8
us,5,6,5,5,7
usk,6,7,6,5,8
ust,6,7,5,6,8
ut,6,7,5,5,8
vac,5,5,6,6,7
vad,5,5,6,6,7
val,5,5,5,6,7
vale,4,4,5,4,5
van,5,4,5,5,7
var,6,6,5,7,8
vard,6,6,6,7,8
veg,5,5,5,5,7
vel,4,4,5,5,5
ven,4,4,5,5,6
ver,5,5,5,6,7
vic,5,5,5,5,7
vin,4,4,5,5,6
vine,3,4,6,3,4
vir,5,4,5,5,7
vis,4,4,5,4,6
vo,5,5,5,5,7
vod,6,6,6,6,8
vog,6,6,6,6,8
vol,6,6,5,6,8
vor,7,7,6,7,8
wael,4,4,7,6,7
wag,5,5,5,5,7
wald,6,6,5,7,8
wall,5,5,5,5,7
ward,5,5,5,6,7
ware,4,4,5,5,6
warn,5,5,5,5,7
was,4,4,5,4,6
wash,4,5,4,4,6
wast,5,5,5,4,7
weald,5,5,6,6,7
well,4,4,5,4,6
wer,5,5,5,5,7
wic,5,5,6,5,7
wick,5,6,5,4,7
wig,5,5,6,5,7
win,4,4,5,5,6
wise,3,3,5,6,6
wist,4,3,6,4,5
wold,5,5,6,6,7
wolf,7,7,5,7,8
wood,5,7,4,5,7
wray,4,4,6,5,6
wren,3,4,7,3,4
wulf,7,7,6,7,8
wych,5,5,7,5,7
wydd,5,4,9,7,7
ydd,5,5,8,6,7
yell,4,4,5,4,6
