suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
gwyn,1,1,8,5,2
gyl,3,1,8,5,3
had,6,5,5,6,7
hal,4,3,4,5,6
han,4,3,4,5,6
har,5,4,5,6,7
ia,1,1,6,2,1
ial,2,1,7,3,3
ian,2,1,6,4,4
iana,1,1,7,3,1
iar,3,1,7,4,4
ice,2,1,5,3,2
id,3,2,5,4,5
ida,2,1,5,3,2
ie,1,1,6,2,1
iel,1,1,8,4,1
iela,1,1,8,3,1
ielle,1,1,8,3,1
ien,1,1,7,3,2
ienne,1,1,8,3,1
ier,2,1,6,3,3
il,1,1,7,3,2
ila,1,1,7,2,1
ile,1,1,7,3,2
ili,1,1,7,2,1
ilia,1,1,8,3,1
ilis,1,1,8,3,1
iln,3,2,8,4,4
im,3,2,5,4,5
in,3,2,4,3,4
ina,1,1,5,2,1
ine,1,1,6,2,1
inel,1,1,7,3,2
ini,1,1,6,2,1
inil,1,1,8,4,2
io,2,1,8,3,2
iol,2,1,7,4,3
ion,3,1,6,5,5
iona,1,1,7,4,1
ir,4,2,5,5,6
ira,2,1,6,3,2
ire,2,1,6,4,3
irel,1,1,7,4,2
iris,1,1,7,4,1
is,2,1,5,3,3
isa,1,1,6,2,1
ise,1,1,6,2,1
ish,4,3,6,4,4
isil,1,1,8,4,2
iss,2,1,6,2,2
issa,1,1,7,2,1
ist,3,1,6,4,4
ista,2,1,7,4,2
it,3,2,4,3,5
ith,3,1,7,5,3
itha,2,1,8,4,2
ithea,1,1,8,4,1
ithil,1,1,8,5,2
ius,4,1,8,6,6
ivi,1,1,7,2,1
ivy,1,1,6,2,1
ix,4,2,8,5,4
ixi,3,1,9,4,2
kar,6,5,6,7,7
kash,6,6,6,6,7
kel,4,3,5,5,6
ken,4,3,5,5,6
ker,5,4,5,6,7
kesh,5,4,7,5,5
keth,6,4,7,6,6
khar,7,5,8,7,7
ki,3,2,7,3,3
kil,6,5,6,6,7
kin,4,3,5,4,5
kir,5,3,6,5,6
kish,5,4,7,5,5
kith,6,4,8,5,6
kor,6,5,7,7,7
kr,7,6,6,6,7
kri,6,5,7,5,6
kyl,4,2,7,5,4
kyr,5,2,8,6,5
la,1,1,5,2,1
lae,1,1,7,3,1
lan,3,2,4,4,5
lana,1,1,5,3,1
lar,4,3,5,5,6
lara,1,1,6,3,1
las,3,1,6,4,5
lash,7,6,6,6,7
lass,2,1,6,3,2
lax,5,3,8,5,5
lay,2,1,6,3,2
le,1,1,5,2,2
lea,1,1,6,2,1
leaf,1,1,6,1,2
leh,2,2,6,2,3
lel,1,1,7,3,2
len,2,1,5,3,3
ler,3,2,5,4,5
les,2,1,6,3,3
less,1,1,6,2,2
let,1,1,5,1,2
leth,4,3,7,5,4
ley,2,1,5,3,3
li,1,1,6,2,1
lia,1,1,7,2,1
lial,1,1,8,3,1
lian,1,1,7,4,2
liana,1,1,8,3,1
liel,1,1,8,3,1
light,3,1,5,6,4
lil,1,1,6,2,1
lin,2,1,5,3,3
lind,1,1,6,4,2
lir,2,1,7,4,3
lis,1,1,6,3,2
liss,1,1,7,3,1
lith,3,1,8,5,3
lor,4,2,6,5,6
lora,2,1,6,4,2
lorn,5,3,7,5,6
los,4,1,7,5,5
loth,5,2,8,6,5
low,2,2,4,2,3
lu,2,1,6,3,3
lua,1,1,7,2,1
lui,1,1,7,2,1
lun,2,1,6,4,2
lyn,1,1,6,3,1
lynn,1,1,6,3,1
lyr,2,1,7,4,2
lyra,1,1,7,4,1
lys,1,1,8,4,1
ma,2,2,4,2,3
mae,1,1,6,3,1
mal,6,5,6,6,7
man,4,4,4,5,6
mar,5,3,5,6,6
mara,3,2,6,5,3
me,1,1,5,1,2
mea,1,1,6,1,1
mel,2,1,5,4,3
men,3,2,5,4,5
mer,4,2,5,5,6
mera,2,1,6,4,2
mi,1,1,6,1,2
mia,1,1,6,1,1
mil,3,2,5,3,4
min,3,1,5,3,4
mir,3,1,6,5,5
mira,1,1,7,4,1
mist,3,1,7,4,3
mith,4,1,8,5,4
moor,5,4,5,4,6
mor,6,4,6,6,7
mord,8,6,7,7,8
moth,5,3,7,3,5
myl,3,1,8,4,3
myr,3,1,7,5,3
myra,2,1,7,4,2
na,1,1,4,2,1
nae,1,1,7,2,1
nai,2,1,7,3,2
nal,3,2,5,4,5
nan,2,2,4,3,4
nar,5,3,6,6,7
nara,3,1,6,5,3
nax,7,5,8,6,7
ne,1,1,5,2,2
nea,1,1,6,2,1
nel,2,1,6,3,3
nem,3,2,7,4,5
nen,2,1,6,4,4
ner,4,2,5,5,6
ness,1,1,6,3,2
nessa,1,1,7,3,1
neth,5,3,8,5,5
ni,1,1,6,2,2
nia,1,1,7,2,1
nial,1,1,7,3,2
niah,1,1,7,2,1
nil,2,1,7,4,3
nim,1,1,8,4,2
nin,2,1,6,3,3
nir,3,1,7,5,5
nis,2,1,6,3,3
niss,1,1,7,3,2
nix,5,2,8,5,4
nor,5,3,6,6,7
nora,3,1,6,5,3
nox,7,3,8,6,6
nu,2,1,6,2,3
nua,1,1,7,2,1
nyl,3,1,8,4,3
nym,2,1,8,4,2
nymph,1,1,8,4,1
nyn,2,1,7,3,2
nyx,6,2,9,6,4
ola,2,1,5,3,2
olde,4,3,5,5,6
olen,3,2,6,4,5
olin,2,1,6,4,3
olis,2,1,7,4,3
olor,4,1,7,6,6
on,4,3,4,5,6
ona,2,1,5,3,2
ond,5,3,6,6,6
or,5,3,5,6,7
ora,2,1,6,4,2
oral,3,1,6,5,4
ore,3,1,6,5,4
ori,2,1,7,4,3
oria,1,1,7,4,1
oril,2,1,8,5,3
orn,5,4,6,6,7
os,4,2,5,4,5
osa,2,1,6,3,3
oth,6,4,7,6,6
ovar,5,3,7,7,7
ow,3,2,4,3,4
qel,3,1,9,5,4
qen,4,1,9,5,4
qia,2,1,10,3,1
qil,4,1,9,4,3
qin,5,2,9,5,5
qis,4,1,9,4,4
qor,7,4,9,7,7
ra,2,1,5,3,2
rae,1,1,7,3,1
rah,3,2,6,4,4
rai,2,1,7,4,3
ral,4,3,5,5,6
ran,4,3,5,5,6
rana,2,1,6,4,2
rath,7,5,7,6,7
rax,7,4,8,7,7
re,2,1,5,3,3
rea,1,1,6,2,1
reen,1,1,6,4,2
rel,2,1,6,4,3
rell,1,1,6,3,2
ren,3,1,5,4,4
reth,4,1,7,5,4
reyn,2,1,7,5,3
ri,1,1,6,2,2
ria,1,1,7,2,1
rial,1,1,8,3,1
rian,1,1,7,4,2
riel,1,1,8,4,1
riell,1,1,8,3,1
rien,1,1,7,3,2
ril,2,1,7,4,2
rin,2,1,6,3,3
ris,2,1,6,3,3
rith,3,1,7,4,3
rix,4,1,8,5,3
ro,3,2,5,4,5
roa,2,1,6,3,3
rol,4,3,5,5,6
ron,5,3,5,6,7
ros,3,1,6,4,4
rose,1,1,5,3,1
roth,7,4,7,6,7
ru,3,2,6,4,5
rue,2,1,6,3,2
ryl,2,1,8,4,2
ryn,1,1,7,3,1
rynn,1,1,7,4,1
rys,2,1,7,4,2
sa,1,1,5,2,2
sae,1,1,7,3,1
sal,3,2,5,4,5
san,3,2,5,4,5
sar,4,2,6,5,6
sara,2,1,6,4,2
se,1,1,5,1,2
sea,1,1,6,2,1
sel,1,1,6,3,2
sele,1,1,7,3,1
sen,2,1,6,3,3
ser,3,1,6,4,5
sera,1,1,7,4,1
sess,1,1,7,2,1
seth,4,2,7,5,5
sha,2,1,6,3,2
shade,6,3,6,5,5
shae,1,1,8,4,1
shan,2,1,6,4,3
shar,4,3,7,6,6
she,1,1,6,2,1
shen,2,1,6,3,3
sher,3,2,6,4,5
shi,1,1,7,2,1
shia,1,1,8,2,1
shy,2,1,7,1,1
si,1,1,6,1,2
sia,1,1,7,1,1
sil,1,1,7,4,2
sin,5,3,6,5,6
sina,2,1,6,3,2
sir,4,1,6,5,6
sis,2,1,6,2,2
sith,6,3,8,5,6
ska,6,6,6,5,7
skar,7,6,7,6,8
skel,6,6,7,5,7
skor,7,6,7,6,8
skye,2,1,7,4,2
sol,3,1,6,5,5
sola,2,1,7,5,3
song,1,1,5,3,2
sor,5,2,6,6,7
sora,3,1,7,5,3
spar,4,3,7,5,5
spin,4,4,7,3,5
stel,2,1,7,5,3
syl,1,1,7,4,2
syla,1,1,8,3,1
syn,3,1,8,5,4
syr,4,1,8,5,4
syra,2,1,8,4,2
sys,3,1,8,4,3
ta,2,2,5,2,3
tae,1,1,7,3,1
tai,2,1,7,3,2
tal,4,2,5,5,6
tan,4,2,5,5,6
tar,5,3,6,6,7
tara,3,1,6,5,3
te,1,1,5,1,2
tea,1,1,6,1,1
tel,3,1,6,4,5
ten,3,2,5,4,5
ter,4,3,5,5,6
tes,3,1,6,4,4
th,3,1,6,4,4
tha,2,1,7,3,2
thae,1,1,8,4,1
thal,3,1,7,5,4
thar,6,4,7,7,8
thara,4,2,7,6,4
thax,7,5,8,7,7
the,1,1,6,3,2
thea,1,1,7,3,1
thel,1,1,7,4,2
then,2,1,7,4,3
ther,3,1,6,5,5
thess,2,1,8,4,2
thi,1,1,7,2,1
thia,1,1,8,2,1
thiel,1,1,8,4,1
thil,1,1,8,3,1
thin,3,2,7,4,4
thir,4,1,7,5,5
this,2,1,7,3,3
thistle,3,2,8,2,3
thorn,6,5,6,5,6
thos,5,2,7,6,6
thra,6,4,8,6,6
thril,4,2,8,5,4
thus,5,2,7,6,6
thy,2,1,7,4,2
thyl,2,1,8,4,2
ti,1,1,6,1,1
tia,1,1,6,1,1
tian,1,1,7,3,2
til,2,2,5,2,3
tin,3,1,6,3,4
tir,4,1,6,5,6
tis,2,1,6,2,3
tish,3,2,7,3,4
tril,4,3,8,4,5
trys,4,2,8,5,4
uil,1,1,8,3,2
ula,2,1,7,3,2
ule,2,1,7,4,3
uln,5,3,8,5,6
um,4,3,5,5,6
una,1,1,6,2,1
une,1,1,6,3,1
uni,1,1,7,3,1
ur,5,4,5,6,7
ura,3,1,6,5,3
us,4,3,5,5,6
usk,5,4,6,5,6
uth,5,3,7,6,6
uvi,2,1,8,3,2
va,2,1,6,3,2
vae,1,1,8,4,1
val,3,1,6,5,5
van,3,1,6,5,5
vane,2,1,7,5,3
var,5,3,6,6,7
vara,3,1,7,5,3
vash,6,4,8,6,7
ve,1,1,6,2,2
vea,1,1,7,2,1
vel,1,1,6,3,2
ven,2,1,6,4,4
ver,3,1,6,5,5
vera,1,1,6,4,2
ves,2,1,7,4,3
vex,7,4,8,6,6
vi,1,1,6,2,1
via,1,1,7,2,1
vian,1,1,7,4,2
viel,1,1,8,3,1
vin,3,1,6,5,5
vine,2,1,6,3,2
vir,4,1,6,5,6
vira,2,1,7,4,3
vis,3,1,6,4,4
viv,1,1,6,4,1
vix,4,1,8,5,3
vor,6,4,7,7,7
vy,1,1,7,2,1
vyl,3,1,8,5,3
vyn,2,1,8,4,2
wae,1,1,7,3,1
wan,3,2,5,4,5
war,6,5,5,7,7
wen,1,1,6,3,1
willow,1,1,6,2,1
win,2,1,5,4,4
wind,2,1,5,4,4
wis,2,1,6,3,3
wisp,2,1,7,2,2
wood,4,4,4,4,6
wren,2,2,7,2,2
wroth,8,6,7,7,8
wyn,1,1,7,4,1
wynn,1,1,7,3,1
wynne,1,1,7,3,1
xa,4,2,8,5,3
xae,3,1,9,5,1
xan,4,2,7,6,5
xara,3,1,8,5,3
xe,3,1,8,4,3
xel,3,1,8,5,3
xen,3,1,8,5,4
xia,2,1,9,3,1
xian,2,1,9,4,2
xis,3,1,8,4,3
xora,4,2,9,6,4
ya,1,1,6,2,1
yal,2,1,7,3,3
yan,2,1,6,4,3
yana,1,1,7,3,1
yar,4,2,6,5,6
yara,2,1,7,4,2
ye,1,1,6,1,1
yel,1,1,6,3,2
yen,2,1,6,4,3
yes,2,1,6,3,3
yl,1,1,7,3,1
yla,1,1,8,2,1
yn,1,1,7,3,2
yna,1,1,7,2,1
yne,1,1,7,3,1
yr,3,1,7,5,4
yra,1,1,8,4,1
ys,1,1,7,3,2
ysa,1,1,8,3,1
za,3,2,7,4,3
zae,2,1,9,4,1
zan,4,2,7,5,5
zar,5,3,8,6,6
zara,3,1,8,5,3
ze,2,1,7,3,2
zea,1,1,8,3,1
zel,2,1,8,4,2
zen,2,1,7,5,4
zera,2,1,8,5,2
zi,2,1,8,3,1
zia,1,1,9,3,1
zil,3,1,8,4,3
zir,5,2,8,6,6
zora,4,2,8,6,4
zoth,8,5,9,7,7
zul,7,5,8,7,8
zyl,4,1,9,5,3
