suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ker,5,7,5,6,7
kesh,5,6,6,6,6
kex,5,7,6,6,7
kha,6,8,7,7,8
khak,7,8,7,8,8
khar,7,8,7,8,8
khaz,7,8,7,8,8
khet,6,7,7,7,7
khex,6,7,7,7,7
kho,6,8,7,7,8
khor,6,8,7,8,8
khul,7,8,7,8,8
kig,5,7,5,6,7
kil,5,7,4,6,7
kim,5,6,5,6,6
kin,5,6,4,5,6
kish,5,7,5,6,7
kit,5,7,4,6,7
kix,5,7,6,6,7
klag,7,9,6,8,9
klak,7,9,6,8,9
klam,6,7,6,7,7
klan,6,7,5,7,7
klar,6,7,6,7,7
klaw,6,7,5,7,7
kleg,6,8,6,7,8
klek,6,8,6,7,8
klik,6,8,6,7,8
klog,6,8,6,7,8
klug,6,8,6,7,8
knag,5,8,5,6,8
knak,5,8,5,6,8
knar,5,7,5,6,7
knash,5,7,5,6,7
kod,5,7,5,6,7
kog,6,8,6,7,8
kol,5,7,5,6,7
kom,5,6,5,6,6
kon,5,6,4,5,6
kor,6,8,5,7,8
kosh,6,7,6,7,7
kot,5,7,5,6,7
krag,7,9,6,8,9
krak,7,9,6,8,9
kram,6,8,6,7,8
kran,6,7,5,7,7
krap,6,8,5,7,8
krat,6,7,5,7,7
kraz,7,8,6,7,8
krek,6,8,6,7,8
krig,6,8,6,7,8
kril,6,8,6,7,8
krim,6,7,6,7,7
krog,7,8,6,8,8
krom,6,8,6,7,8
kron,6,7,5,7,7
krug,7,9,6,8,9
kruk,7,9,6,8,9
krul,7,8,6,8,8
krum,6,8,6,7,8
krut,6,8,5,7,8
kug,7,8,6,8,8
kuk,6,8,6,7,8
kul,6,8,5,7,8
kum,5,7,5,6,7
kur,6,8,5,7,8
kush,6,7,6,7,7
kut,5,7,5,6,7
kux,6,7,6,7,7
kuz,6,7,6,7,7
la,4,6,4,5,6
lad,5,6,4,5,6
lag,5,8,5,6,8
lak,5,7,5,6,7
lam,4,6,4,5,6
lan,4,6,4,5,6
lar,4,6,4,5,6
lax,4,6,5,5,6
lek,4,6,5,5,6
lig,4,6,5,5,6
lik,4,6,5,5,6
lim,4,5,5,5,5
log,5,7,4,6,7
lok,5,7,5,6,7
lop,4,6,4,5,6
lor,4,6,4,5,6
lug,6,8,5,7,8
luk,6,8,5,7,8
lum,4,6,5,5,6
lun,4,6,4,5,6
lur,5,7,5,6,7
lush,4,6,5,5,6
lut,5,7,4,6,7
lux,4,6,5,5,6
ma,4,6,3,5,5
mab,5,7,4,6,7
mad,5,7,4,6,7
mag,6,8,5,7,8
mak,6,8,5,7,8
mal,5,7,4,6,7
man,5,6,3,5,6
mar,5,7,4,6,7
mash,6,7,5,7,7
mat,5,7,3,6,7
maw,5,7,4,6,7
max,5,7,4,6,7
maz,5,7,5,6,7
med,4,6,3,5,6
meg,5,7,4,6,7
mek,5,7,4,6,7
mex,5,7,5,6,7
mig,5,7,5,6,7
mik,5,7,5,6,7
mil,4,6,4,5,6
mish,5,6,5,6,6
mix,5,7,5,6,7
miz,5,7,5,6,7
mog,6,8,6,7,8
mok,6,8,6,7,8
mol,5,7,5,6,7
mon,5,6,4,5,6
mor,5,7,4,6,7
mosh,6,8,6,7,8
mot,5,7,4,6,7
mox,5,7,5,6,7
mug,6,8,5,7,8
muk,6,8,5,7,8
mul,5,7,5,6,7
mun,5,6,4,5,6
mur,5,7,4,6,7
mush,5,7,5,6,7
mut,5,7,4,6,7
mux,5,7,5,6,7
muz,5,7,5,6,7
na,4,6,3,5,5
nab,5,7,4,6,7
nag,5,8,5,6,8
nak,5,7,5,6,7
nam,4,6,4,5,6
nar,5,7,5,6,7
nash,5,7,5,6,7
nat,5,7,3,6,7
nav,5,7,5,6,7
nax,5,7,5,6,7
naz,5,7,5,6,7
nek,5,7,5,6,7
nex,5,7,5,6,7
nig,5,7,5,6,7
nik,5,7,5,6,7
nish,5,6,5,6,6
nix,5,7,5,6,7
niz,5,7,5,6,7
nob,5,7,4,6,7
nok,5,7,5,6,7
nop,5,7,4,6,7
nor,5,7,5,6,7
nosh,5,7,5,6,7
not,5,7,3,6,7
nox,5,7,5,6,7
nug,5,8,5,6,8
nuk,5,7,5,6,7
nuz,5,7,5,6,7
o,4,5,3,4,5
ob,5,7,4,6,7
og,6,9,5,7,9
ok,6,8,5,7,8
ol,5,6,4,6,6
om,5,6,4,6,6
on,5,6,4,5,6
op,5,7,4,6,7
or,5,7,4,6,7
ork,7,8,5,8,8
osh,6,7,5,7,7
ot,5,7,4,6,7
ov,5,7,5,6,7
ox,5,7,5,6,7
oz,6,7,6,7,7
pog,5,8,5,6,8
pug,5,8,5,6,8
quag,5,7,6,6,7
quar,5,7,6,6,7
rag,6,8,5,7,8
rak,6,8,5,7,8
ram,5,7,4,6,7
ran,5,7,4,6,6
rash,6,8,5,7,8
rat,5,7,4,6,7
raw,5,8,4,7,8
rax,5,7,5,6,7
raz,5,7,5,6,7
rem,4,6,4,5,6
rek,5,7,5,6,7
rend,7,8,5,9,8
rex,5,7,5,6,7
rez,5,7,5,6,7
rib,5,7,4,6,7
rig,5,7,5,6,7
rip,6,8,4,8,8
rix,5,7,5,6,7
rok,6,8,5,7,8
rot,6,8,5,7,8
rox,5,7,5,6,7
rub,5,7,4,6,7
rud,5,7,5,6,7
rug,6,8,5,7,8
ruk,6,8,5,7,8
rum,5,7,5,6,7
rut,5,7,4,6,7
rux,5,7,5,6,7
ruz,5,7,5,6,7
sag,5,7,5,6,7
sak,5,7,5,6,7
sam,5,6,4,6,6
san,5,6,4,5,6
sar,5,7,5,6,7
sav,5,7,5,6,7
saw,5,7,4,6,7
sax,5,7,5,6,7
saz,5,7,5,6,7
shak,6,8,5,7,8
shat,6,8,5,7,8
shaw,5,7,4,6,7
shaz,6,8,6,7,8
skar,6,8,6,7,8
skav,6,8,6,7,8
skaz,6,8,6,7,8
skek,6,8,6,7,8
skig,6,8,6,7,8
skim,6,7,6,7,7
skiz,6,8,6,7,8
skrag,7,9,6,8,9
skrak,7,9,6,8,9
skrat,6,8,5,7,8
skrig,6,8,6,7,8
skud,6,8,5,7,8
skug,6,8,6,7,8
skuk,6,8,6,7,8
skul,7,8,5,8,8
skum,6,7,5,7,7
sla,5,7,4,6,7
slag,6,9,5,7,9
slak,6,8,5,7,8
slam,5,7,4,6,7
slash,6,8,5,8,8
slav,5,7,5,6,7
slaw,5,7,4,6,7
slig,5,7,5,6,7
slik,5,7,5,6,7
slog,5,8,5,6,8
slud,5,8,5,6,8
slug,5,8,5,6,8
sluk,5,7,5,6,7
sma,5,7,4,6,7
smack,6,8,5,7,8
smag,5,8,5,6,8
smak,6,8,5,7,8
smat,5,7,4,6,7
smash,6,8,5,8,8
smeg,5,8,5,6,8
smek,5,7,5,6,7
smet,5,7,4,6,7
smig,5,7,5,6,7
smik,5,7,5,6,7
smit,5,7,4,6,7
smog,5,8,5,6,8
smok,5,7,5,6,7
smot,5,7,4,6,7
smug,5,7,5,6,7
smuk,5,7,5,6,7
sna,5,7,4,6,7
snack,5,8,5,6,8
snag,5,8,5,6,8
snak,5,8,5,6,8
snap,5,7,4,6,7
snark,5,7,5,6,7
snat,5,7,4,6,7
snaz,5,7,5,6,7
snek,5,7,5,6,7
snig,5,7,5,6,7
snik,5,7,5,6,7
snip,5,7,4,6,7
snit,5,7,4,6,7
snob,5,7,4,6,7
snog,5,8,5,6,8
snok,5,7,5,6,7
snot,6,9,4,6,9
snug,5,7,5,6,7
snuk,5,7,5,6,7
sob,5,7,4,6,7
sog,5,8,5,6,8
sok,5,7,5,6,7
sol,5,6,4,6,6
som,5,6,4,6,6
spag,5,8,5,6,8
spak,5,7,5,6,7
spam,5,7,4,6,7
span,5,7,4,6,6
spark,5,7,5,6,7
spat,5,7,4,6,7
spaz,5,7,5,6,7
spek,5,7,5,6,7
spig,5,7,5,6,7
spik,6,8,5,7,8
spim,5,6,5,6,6
spit,5,7,4,6,7
splat,5,7,4,6,7
splig,5,7,5,6,7
split,5,7,4,6,7
spog,5,8,5,6,8
spok,5,7,5,6,7
spot,5,7,4,6,7
spug,5,8,5,6,8
spuk,5,7,5,6,7
stab,7,8,5,8,8
stag,5,7,5,6,7
stak,5,7,5,6,7
stam,5,6,5,6,6
stan,5,6,4,5,6
stark,5,7,5,6,7
stash,5,7,5,6,7
stat,5,7,4,6,7
stax,5,7,5,6,7
staz,5,7,5,6,7
stek,5,7,5,6,7
stig,5,7,5,6,7
stik,5,7,5,6,7
stim,5,6,5,6,6
stink,5,7,4,6,7
stog,5,8,5,6,8
stok,5,7,5,6,7
stom,5,7,5,6,7
stomp,6,8,5,8,8
strak,6,8,6,7,8
strat,5,7,5,6,7
strog,6,8,6,7,8
strug,6,8,6,7,8
stug,5,8,5,6,8
stuk,5,7,5,6,7
stump,5,7,5,7,7
sug,5,8,5,6,8
suk,5,7,5,6,7
ta,4,6,3,5,5
tag,5,7,5,6,7
tak,5,7,5,6,7
tam,5,6,4,6,6
tan,5,6,4,5,6
tar,5,7,5,6,7
tark,6,8,6,7,8
tash,5,7,5,6,7
tat,5,7,3,6,7
tav,5,7,5,6,7
tax,5,7,4,6,7
taz,5,7,5,6,7
tek,5,7,5,6,7
thag,6,8,6,7,8
thak,6,8,6,7,8
thar,6,8,6,7,8
thark,6,8,6,7,8
thaz,6,8,7,7,8
thek,5,7,6,6,7
thet,5,7,6,6,7
thex,5,7,6,6,7
thig,5,7,6,6,7
thik,5,7,6,6,7
thok,6,8,6,7,8
thor,5,7,4,7,7
thrak,7,9,7,8,9
thug,7,9,5,8,9
thuk,6,8,6,7,8
thul,6,8,6,7,8
thut,5,7,6,6,7
thuz,6,8,7,7,8
tik,5,7,5,6,7
tish,5,6,5,6,6
tix,5,7,5,6,7
tiz,5,7,5,6,7
tok,5,7,5,6,7
tooth,6,8,4,8,8
tor,5,7,5,7,7
tosh,5,7,5,6,7
trak,6,8,6,7,8
trash,6,9,4,7,9
trog,6,8,6,7,8
tuk,6,8,6,7,8
tusk,6,8,5,8,8
u,4,5,4,4,5
ub,5,7,5,6,7
ug,7,9,5,8,9
uk,6,8,5,7,8
ul,5,7,5,6,7
um,5,6,5,6,6
un,5,6,4,5,6
ur,5,7,5,6,7
urd,5,7,5,6,7
urk,7,8,6,8,8
urm,5,6,5,6,6
ursh,6,7,6,7,7
urt,5,7,5,6,7
ush,6,7,5,7,7
ut,5,7,5,6,7
uth,6,7,6,7,7
ux,5,7,6,6,7
uz,6,7,6,7,7
vag,5,7,6,6,7
vak,5,7,6,6,7
varg,6,7,6,7,7
vash,5,6,6,6,6
vax,5,7,7,6,7
vaz,5,7,7,6,7
vex,5,7,6,7,7
vorg,6,8,7,7,8
vrak,6,8,7,7,8
vug,5,7,6,6,7
vuk,5,7,6,6,7
wa,4,6,4,5,6
wag,5,7,5,6,7
war,6,8,4,8,8
wark,6,8,5,7,8
wax,5,7,5,6,7
waz,5,7,6,6,7
wek,5,7,5,6,7
wik,5,7,5,6,7
wog,5,7,5,6,7
wok,5,7,5,6,7
wom,4,6,5,5,6
wop,5,7,5,6,7
wot,5,7,4,6,7
wug,5,7,5,6,7
wuk,5,7,5,6,7
wur,5,7,5,6,7
wut,5,7,4,6,7
wuz,5,7,5,6,7
xa,5,7,7,6,7
xag,6,8,8,7,8
xak,6,8,8,7,8
xar,6,7,8,7,7
xash,6,7,7,7,7
xav,5,7,7,6,7
xaz,6,8,8,7,8
xik,5,7,7,6,7
xog,6,8,8,7,8
xor,6,7,8,7,7
xosh,6,7,7,7,7
xug,7,9,8,8,9
xur,6,7,8,7,7
za,5,7,6,6,7
zag,6,8,7,7,8
zak,6,8,7,7,8
zam,5,7,7,6,7
zar,6,7,7,7,7
zash,6,7,7,7,7
zav,5,7,7,6,7
zax,5,7,7,6,7
zaz,6,8,8,7,8
zek,5,7,6,6,7
zik,5,7,7,6,7
zog,6,8,7,7,8
zor,6,7,7,7,7
zug,7,9,7,8,9
zul,6,8,7,7,8
zum,5,7,7,6,7
zur,6,8,7,7,8
