prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
Grom,6,8,6,7,8,0
Gron,6,8,5,7,8,0
Grug,7,9,6,8,9,0
Gruk,7,9,6,8,9,0
Grush,7,9,6,8,9,0
Gul,6,8,6,7,8,0
Guld,6,8,6,7,8,0
Gulm,6,8,6,7,8,0
Guth,6,8,6,7,8,0
Gut,6,8,4,7,8,0
Hag,6,8,5,7,8,0
Hak,6,8,5,7,8,0
Har,5,7,4,6,7,0
Hash,6,8,5,7,8,0
Hath,5,7,6,6,7,0
Hell,7,8,4,8,8,0
Hog,6,8,4,7,8,0
Hul,5,7,5,6,7,0
Huth,5,7,6,6,7,0
Iron,5,7,4,8,8,0
Jag,6,8,5,7,8,0
Jak,6,8,5,7,8,0
Jar,5,7,5,6,7,0
Jax,6,8,6,7,8,0
Jor,5,7,5,6,7,0
Junk,5,8,4,6,8,0
Kah,6,8,6,7,8,0
Kar,6,8,5,7,8,0
Kag,7,8,6,8,8,0
Kak,7,8,6,8,8,0
Kam,5,7,6,6,7,0
Kaz,7,8,7,8,8,0
Karg,7,9,6,8,9,0
Karsh,7,8,6,8,8,0
Kax,7,8,7,8,8,0
Khaz,7,8,7,8,8,0
Khor,6,8,6,7,8,0
Khal,6,8,6,7,8,0
Kill,7,8,4,9,8,0
Klad,6,8,6,7,8,0
Klag,7,9,6,8,9,0
Klak,7,9,6,8,9,0
Krak,7,9,6,8,9,0
Kram,6,8,6,7,8,0
Krath,7,8,7,8,8,0
Kril,6,8,6,7,8,0
Krol,6,8,6,7,8,0
Krud,6,8,5,7,8,0
Krug,7,9,6,8,9,0
Kruk,7,9,6,8,9,0
Krush,7,9,6,8,9,0
Kul,6,8,5,7,8,0
Lag,5,8,5,6,8,0
Lak,5,7,5,6,7,0
Lash,6,8,5,7,8,0
Log,5,7,4,6,7,0
Lok,5,7,5,6,7,0
Lug,6,8,5,7,8,0
Luk,6,8,5,7,8,0
Lum,4,6,5,5,6,0
Lur,5,7,5,6,7,0
Lurk,6,8,5,7,8,0
Mag,6,8,5,7,8,0
Mak,6,8,5,7,8,0
Makh,7,8,7,8,8,0
Marg,6,8,6,7,8,0
Mar,5,7,4,6,7,0
Marsh,5,7,5,6,7,0
Mash,6,8,5,7,8,0
Mog,6,8,6,7,8,0
Mogr,7,8,7,8,8,0
Mork,6,8,6,7,8,0
Mosh,6,8,6,7,8,0
Mug,6,8,5,7,8,0
Muk,6,8,5,7,8,0
Murk,6,7,5,7,7,0
Nag,5,8,5,6,8,0
Nak,5,7,5,6,7,0
Nar,5,7,5,6,7,0
Nath,5,7,6,6,7,0
Naz,6,8,6,7,8,0
Nork,6,8,6,7,8,0
Nuk,6,8,6,7,8,0
Nuz,6,8,6,7,8,0
Pug,5,8,5,6,8,0
Pash,5,7,5,6,7,0
Quag,5,7,6,6,7,0
Quar,5,7,6,6,7,0
Rag,6,8,5,7,8,0
Rak,6,8,5,7,8,0
Rash,6,8,5,7,8,0
Rat,5,7,4,6,7,0
Raw,5,8,4,7,8,0
Rage,7,8,4,9,8,0
Rath,6,8,6,7,8,0
Rend,7,8,5,9,8,0
Rhaz,6,8,7,7,8,0
Rip,6,8,4,8,8,0
Rock,5,7,4,7,7,0
Rok,6,8,5,7,8,0
Rot,6,8,5,7,8,0
Rud,5,7,5,6,7,0
Ruk,6,8,5,7,8,0
Ruz,6,8,6,7,8,0
Sag,5,7,5,6,7,0
Sak,5,7,5,6,7,0
Sar,5,7,5,6,7,0
Sav,5,7,5,6,7,0
Scar,6,7,4,7,7,0
Scorn,6,7,5,7,7,0
Scum,7,9,5,8,9,0
Sgor,6,8,6,7,8,0
Shat,6,8,5,7,8,0
Shaz,6,8,6,7,8,0
Skag,7,9,6,8,9,0
Skak,7,9,6,8,9,0
Skar,6,8,6,7,8,0
Skash,7,9,6,8,9,0
Skaz,7,9,7,8,9,0
Skull,7,8,5,8,8,0
Skuz,7,9,7,8,9,0
Slag,6,9,5,7,9,0
Slash,6,8,5,8,8,0
Slaz,6,8,6,7,8,0
Smash,7,9,5,9,9,0
Smug,5,7,5,6,7,0
Snag,5,8,5,6,8,0
Snar,5,8,5,6,8,0
Snot,6,9,4,6,9,0
Sog,5,8,5,6,8,0
Spik,6,8,5,7,8,0
Stab,7,8,5,8,8,0
Stag,5,7,5,6,7,0
Stig,5,7,5,6,7,0
Stom,5,7,5,6,7,0
Stomp,6,8,5,8,8,0
Stone,5,7,4,7,7,0
Storm,5,7,4,7,7,0
Strong,5,7,4,8,8,0
Stug,6,8,6,7,8,0
Stump,5,7,5,7,7,0
Sturm,5,7,5,7,7,0
Swag,5,7,4,6,7,0
Tag,5,7,5,6,7,0
Tak,5,7,5,6,7,0
Tar,5,7,5,6,7,0
Targ,6,8,6,7,8,0
Tark,6,8,6,7,8,0
Taz,6,8,6,7,8,0
Thag,6,8,6,7,8,0
Thak,6,8,6,7,8,0
Thar,6,8,6,7,8,0
Thaz,6,8,7,7,8,0
Thok,6,8,6,7,8,0
Thork,6,8,6,7,8,0
Thor,5,7,4,7,7,0
Thrak,7,9,7,8,9,0
Thruk,7,9,7,8,9,0
Thrum,6,8,6,7,8,0
Thug,7,9,5,8,9,0
Thul,6,8,6,7,8,0
Thun,5,7,5,7,7,0
Thrash,7,9,5,9,9,0
Tor,5,7,5,7,7,0
Torg,6,8,6,7,8,0
Torr,5,7,5,7,7,0
Trash,6,9,4,7,9,0
Trog,6,8,6,7,8,0
Trom,5,7,6,6,7,0
Trul,6,8,6,7,8,0
Tuk,6,8,6,7,8,0
Tusk,6,8,5,8,8,0
Ug,7,9,5,8,9,0
Ulk,6,8,6,7,8,0
Uth,6,8,6,7,8,0
Vag,5,7,6,6,7,0
Vak,5,7,6,6,7,0
Val,4,6,5,6,6,0
Var,5,7,6,6,7,0
Vax,5,7,7,6,7,0
Vaz,5,7,7,6,7,0
Vex,5,7,6,7,7,0
Vorg,6,8,7,7,8,0
Vrak,6,8,7,7,8,0
Vrog,6,8,7,7,8,0
Vrum,6,8,7,7,8,0
Vul,5,7,6,6,7,0
Vur,5,7,6,6,7,0
Wag,5,7,5,6,7,0
War,6,8,4,8,8,0
Wark,6,8,5,7,8,0
Waz,5,7,6,6,7,0
Wrath,7,8,5,9,8,0
Wreck,6,8,4,8,8,0
Xag,6,8,8,7,8,0
Xak,6,8,8,7,8,0
Xar,6,7,8,7,7,0
Xaz,6,8,8,7,8,0
Xorg,7,8,9,8,8,0
Xug,7,9,8,8,9,0
Yag,5,7,6,6,7,0
Yak,5,7,6,6,7,0
Yar,5,7,6,6,7,0
Yaz,5,7,7,6,7,0
Yorg,6,8,7,7,8,0
Yug,6,8,6,7,8,0
Zag,6,8,7,7,8,0
Zak,6,8,7,7,8,0
Zam,5,7,7,6,7,0
Zar,6,7,7,7,7,0
Zaz,6,8,8,7,8,0
Zarg,7,9,8,8,9,0
Zark,7,9,8,8,9,0
Zash,6,8,7,7,8,0
Zax,6,8,8,7,8,0
Zhag,7,8,8,8,8,0
Zhak,7,8,8,8,8,0
Zhar,6,8,8,7,8,0
Zhaz,7,8,9,8,8,0
Zhuk,7,9,8,8,9,0
Zog,6,8,7,7,8,0
Zol,5,7,7,6,7,0
Zorch,6,8,8,7,8,0
Zork,7,8,8,8,8,0
Zug,7,9,7,8,9,0
Zul,6,8,7,7,8,0
Zur,6,8,7,7,8,0
