prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
thel,2,1,6,4,4,0
thi,2,1,5,4,3,0
thia,2,1,6,4,2,0
tho,3,2,5,5,5,0
thor,4,3,6,6,7,0
thu,3,2,5,5,5,0
thy,2,1,6,4,3,0
thyn,3,2,7,5,4,0
ti,2,1,4,3,3,0
tia,2,1,5,3,2,0
til,2,1,5,4,3,0
to,3,2,4,4,4,0
tr,3,3,5,5,6,0
tra,4,3,5,6,6,0
tri,3,2,5,5,5,0
tu,3,2,4,4,4,0
ty,2,1,5,3,3,0
tyr,3,2,6,5,5,0
u,2,1,5,3,4,1
ua,2,1,6,3,3,1
ue,2,1,6,3,3,1
ul,3,2,5,4,5,1
un,2,2,4,4,5,1
ur,3,2,5,5,6,1
us,2,2,5,4,5,1
va,3,2,5,4,4,0
vae,2,1,8,3,3,0
val,3,2,6,4,4,0
vala,3,2,7,4,3,0
valar,4,3,8,6,5,0
ve,2,1,5,3,3,0
vea,2,1,6,3,2,0
vel,2,1,6,3,3,0
vela,2,1,7,3,2,0
vi,2,1,5,3,3,0
vir,3,2,6,4,4,0
vo,3,2,5,4,4,0
vy,2,1,6,3,3,0
vyr,3,2,7,4,4,0
xa,3,2,7,5,5,0
xae,2,1,9,4,4,0
xal,3,2,8,5,5,0
xe,2,1,7,3,4,0
xea,2,1,8,3,3,0
xel,2,1,8,4,4,0
xi,2,1,7,3,3,0
xir,3,2,8,5,5,0
xy,2,1,8,3,4,0
xyr,3,2,9,5,5,0
y,1,1,5,2,3,1
ya,2,1,6,3,3,1
ye,1,1,6,2,2,1
yn,2,1,6,3,3,1
za,3,2,6,5,5,0
zae,2,1,8,4,4,0
zal,3,2,7,5,5,0
ze,2,1,6,3,4,0
zea,2,1,7,3,3,0
zel,2,1,7,4,4,0
zi,2,1,6,3,3,0
zir,3,2,7,5,5,0
zy,2,1,7,3,4,0
zyr,3,2,8,5,5,0
