prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
yal,3,3,5,4,5,0
yam,4,4,5,5,5,0
yan,3,3,5,4,5,0
yar,4,4,5,6,6,0
yas,3,3,5,4,5,0
yaz,4,3,6,5,5,0
za,4,4,6,5,6,0
zah,5,4,7,6,6,0
zal,4,4,6,5,6,0
zam,5,5,6,6,7,0
zan,4,4,6,5,6,0
zar,5,5,6,7,7,0
zas,4,4,6,5,6,0
zaz,5,4,7,6,6,0
