suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
akar,4,5,6,5,6
akas,3,4,6,4,5
akat,3,4,5,4,5
akaz,4,4,7,5,5
alad,4,4,6,5,5
alah,3,3,6,4,4
alan,3,3,5,4,4
alar,4,4,6,5,5
alas,3,3,6,4,4
alat,3,3,5,4,4
alaz,4,3,7,5,4
amar,4,5,6,5,5
amad,4,5,6,5,5
amah,3,4,6,4,4
aman,3,4,5,4,4
amar,4,5,6,5,5
amas,3,4,6,4,4
amat,3,4,5,4,4
amaz,4,4,7,5,4
anad,3,4,5,4,4
anah,2,3,5,3,3
anan,2,3,4,3,3
anar,3,4,5,4,4
anas,2,3,5,3,3
anat,2,3,4,3,3
anaz,3,3,6,4,3
arad,4,4,6,5,5
arah,3,3,6,4,4
aran,3,3,5,4,4
arar,4,4,6,5,5
aras,3,3,6,4,4
arat,3,3,5,4,4
araz,4,3,7,5,4
asad,4,4,6,5,5
asah,3,3,6,4,4
asan,3,3,5,4,4
asar,4,4,6,5,5
asas,3,3,6,4,4
asat,3,3,5,4,4
asaz,4,3,7,5,4
atad,4,4,6,5,5
atah,3,3,6,4,4
atan,3,3,5,4,4
atar,4,4,6,5,5
atas,3,3,6,4,4
atat,3,3,5,4,4
ataz,4,3,7,5,4
awad,4,4,6,5,5
awah,3,3,6,4,4
awan,3,3,5,4,4
awar,4,4,6,5,5
awas,3,3,6,4,4
awat,3,3,5,4,4
awaz,4,3,7,5,4
ayad,4,3,6,5,4
ayah,3,2,6,4,3
ayan,3,2,5,4,3
ayar,4,3,6,5,4
ayas,3,2,6,4,3
ayat,3,2,5,4,3
ayaz,4,2,7,5,3
azad,5,4,8,6,5
azah,4,3,8,5,4
azan,4,3,7,5,4
azar,5,4,8,6,5
azas,4,3,8,5,4
azat,4,3,7,5,4
azaz,5,3,9,6,4
ebi,2,3,5,3,3
edu,4,4,4,5,6
efa,3,3,5,4,4
egi,3,3,4,4,5
egu,5,5,4,6,7
eha,3,3,5,4,4
eja,3,3,5,4,4
eka,4,4,5,5,6
ela,3,3,4,4,4
ema,3,4,4,4,4
ena,2,3,3,3,3
era,3,3,4,4,5
esa,3,3,4,4,4
eta,3,3,4,4,4
ewa,3,3,4,4,4
eya,3,2,4,4,3
eza,4,3,6,5,4
iba,4,4,6,5,5
ibi,3,3,6,4,4
ibu,5,5,6,6,7
ida,3,3,5,4,3
idi,2,2,5,3,2
idu,4,4,5,5,5
ifa,3,3,6,4,3
ifi,2,2,6,3,2
ifu,4,4,6,5,5
iga,4,4,5,5,5
igi,3,3,5,4,4
igu,5,5,5,6,6
iha,3,3,6,4,3
ihi,2,2,6,3,2
ihu,4,4,6,5,5
ija,3,3,6,4,3
iji,2,2,6,3,2
iju,4,4,6,5,5
ika,4,4,6,5,5
iki,3,3,6,4,4
iku,5,5,6,6,6
ila,3,3,5,4,3
ili,2,2,5,3,2
ilu,4,4,5,5,5
ima,3,4,5,4,3
imi,2,3,5,3,2
imu,4,5,5,5,5
ina,2,3,4,3,2
ini,1,2,4,2,1
inu,3,4,4,4,4
ira,3,3,5,4,4
iri,2,2,5,3,3
iru,4,4,5,5,6
isa,3,3,5,4,3
isi,2,2,5,3,2
isu,4,4,5,5,5
ita,3,3,5,4,3
iti,2,2,5,3,2
itu,4,4,5,5,5
iwa,3,3,5,4,3
iwi,2,2,5,3,2
iwu,4,4,5,5,5
iya,3,2,5,4,2
iyi,2,1,5,3,1
iyu,4,3,5,5,3
iza,4,3,7,5,4
izi,3,2,7,4,3
izu,5,4,7,6,5
oba,4,5,6,5,6
obi,3,4,6,4,5
obu,5,6,6,6,8
oda,3,4,5,4,5
odi,2,3,5,3,4
odu,4,5,5,5,7
ofa,3,4,6,4,5
ofi,2,3,6,3,4
ofu,4,5,6,5,7
oga,4,5,5,5,7
ogi,3,4,5,4,6
ogu,5,6,5,6,8
oha,3,4,6,4,5
ohi,2,3,6,3,4
ohu,4,5,6,5,7
oja,3,4,6,4,5
oji,2,3,6,3,4
oju,4,5,6,5,7
oka,4,5,6,5,7
oki,3,4,6,4,6
oku,5,6,6,6,8
ola,3,4,5,4,5
oli,2,3,5,3,4
olu,4,5,5,5,7
oma,3,5,5,4,5
omi,2,4,5,3,4
omu,4,6,5,5,7
ona,2,4,4,3,4
oni,1,3,4,2,3
onu,3,5,4,4,6
ora,3,4,5,4,5
ori,2,3,5,3,4
oru,4,5,5,5,7
osa,3,4,5,4,5
osi,2,3,5,3,4
osu,4,5,5,5,7
ota,3,4,5,4,5
oti,2,3,5,3,4
otu,4,5,5,5,7
owa,3,4,5,4,5
owi,2,3,5,3,4
owu,4,5,5,5,7
oya,3,3,5,4,4
oyi,2,2,5,3,3
oyu,4,4,5,5,6
oza,4,4,7,5,6
ozi,3,3,7,4,5
ozu,5,5,7,6,7
uba,5,6,6,6,7
ubi,4,5,6,5,6
ubu,6,7,6,7,8
uda,4,5,5,5,6
udi,3,4,5,4,5
udu,5,6,5,6,7
ufa,4,5,6,5,6
ufi,3,4,6,4,5
ufu,5,6,6,6,7
uga,5,6,5,6,7
ugi,4,5,5,5,6
ugu,6,7,5,7,8
uha,4,5,6,5,6
uhi,3,4,6,4,5
uhu,5,6,6,6,7
uja,4,5,6,5,6
uji,3,4,6,4,5
uju,5,6,6,6,7
uka,5,6,6,6,7
uki,4,5,6,5,6
uku,6,7,6,7,8
ula,4,5,5,5,6
uli,3,4,5,4,5
ulu,5,6,5,6,7
uma,4,6,5,5,6
umi,3,5,5,4,5
umu,5,7,5,6,7
una,3,5,4,4,5
uni,2,4,4,3,4
unu,4,6,4,5,6
ura,4,5,5,5,6
uri,3,4,5,4,5
uru,5,6,5,6,7
usa,4,5,5,5,6
usi,3,4,5,4,5
usu,5,6,5,6,7
uta,4,5,5,5,6
uti,3,4,5,4,5
utu,5,6,5,6,7
uwa,4,5,5,5,6
uwi,3,4,5,4,5
uwu,5,6,5,6,7
uya,4,4,5,5,5
uyi,3,3,5,4,4
uyu,5,5,5,6,6
uza,5,5,7,6,6
uzi,4,4,7,5,5
uzu,6,6,7,7,7
